Soft Label	Title	URL
Past Summits/Conferences/Symposiums:	AI+Education Summit: Advancing Human Learning with AI Technologies (stanford.edu)	https://hai.stanford.edu/events/aieducation-summit-advancing-human-learning-ai-technologies
Past Summits/Conferences/Symposiums:	MIT AI+Edu 2024	https://www.youtube.com/watch?v=d5H2JJO06Q4&list=PL6cp6kydiOXeS3Sz-IUYlo7JfERyxzd7a
Past Summits/Conferences/Symposiums:	Joint California Summit on Generative AI: Advancing GenAI Leadership & Collaboration	https://www.youtube.com/watch?v=ddT-C6jgM60
Podcasts/Blogs/YouTube	Artificial Intelligence & Equality Initiative | Carnegie Council for Ethics in International Affairs	https://www.carnegiecouncil.org/media/series/aiei
Policy (~classroom)	Syllabi Policies for AI Generative Tools - Google Docs	https://docs.google.com/document/d/1RMVwzjc1o0Mi8Blw_-JUTcXv02b2WRH86vw7mi16W3U/edit
Policy (~classroom)	Teaching AI Ethics: The Series – Leon Furze	https://leonfurze.com/ai-ethics/
Policy (~classroom)	The AI Assessment Scale - Leon Furze	https://mcusercontent.com/0e4244172472af8210b990aa9/files/9f08b278-7b48-52a8-508b-f448fd4edf3d/Leonfurze.com_The_AI_Assessment_Scale.pdf
Policy (~classroom)	https://www.tarveracademy.com/resources	https://www.tarveracademy.com/resources
Policy (~institutional)	The-Future-of-Economic-Mobility-Workforce-and-Inequality-ISSUE-REPORT.pdf (california100.org)	https://california100.org/wp-content/uploads/2023/09/The-Future-of-Economic-Mobility-Workforce-and-Inequality-ISSUE-REPORT.pdf
Policy (~institutional)	https://ideascale.com/blog/college-faculty-ai-replacement/	https://ideascale.com/blog/college-faculty-ai-replacement/
Policy (~institutional)	Policies - Artificial Intelligence (AI) in Higher Education - LibGuides at Chapman University	https://libguides.chapman.edu/AI/policies
Policy (~institutional)	https://tech.ed.gov/files/2023/05/ai-future-of-teaching-and-learning-report.pdf	https://tech.ed.gov/files/2023/05/ai-future-of-teaching-and-learning-report.pdf
Professional Development & Consulting Organizations	RESEARCHING EDUCATION & TECHNOLOGY - Home (tptate.com)	http://www.tptate.com/
Professional Development & Consulting Organizations	CTLT&CTL - AI In Teaching and Learning (ubc.ca)	https://ai.ctlt.ubc.ca/
Professional Development & Consulting Organizations	Teaching in the Age of AI | Center for Teaching | Vanderbilt University	https://cft.vanderbilt.edu/guides-sub-pages/teaching-in-the-age-of-ai/
Professional Development & Consulting Organizations	aiEDU	https://www.aiedu.org/
Professional Development & Consulting Organizations	Effective Professional Development on AI by Educopia	https://www.edutopia.org/article/ai-professional-development-helps-teachers-tech-integration/
Prompting Guides	Prompt Engineering Guide | Prompt Engineering Guide (promptingguide.ai)	https://www.promptingguide.ai/
Protection of Privacy	FERPA and generative AI applications	https://ethics.berkeley.edu/privacy/appropriate-use-generative-ai-tools
Protection of Privacy	California Consumer Privacy Act (CCPA) | State of California - Department of Justice - Office of the Attorney General	https://oag.ca.gov/privacy/ccpa
Protection of Privacy	Navigating Responsible AI—A Look Through FERPA and HIPAA Compliance - BWF	https://www.bwf.com/navigating-responsible-ai-a-look-through-ferpa-and-hipaa-compliance/
Resume Builders and Optimizers	Free Online Resume Builder to Get Hired in 2024 - Resume.co	https://resume.co/
Resume Builders and Optimizers	Jobscan ATS Resume Checker and Job Search Tools	https://www.jobscan.co/?utm_term=jobscan&utm_campaign=Brand&utm_source=google&utm_medium=cpc&hsa_acc=6653739431&hsa_cam=13543830640&hsa_grp=124066336456&hsa_ad=691511930312&hsa_src=g&hsa_tgt=kwd-329216966316&hsa_kw=jobscan&hsa_mt=e&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjwhvi0BhA4EiwAX25uj40PsmmhgW0E4HK8pOxUTG33UYxfWWb2B4GB3WTDxA1KMa52hyIwDBoC8qQQAvD_BwE
Resume Builders and Optimizers	Rezi - The Leading AI Resume Builder trusted by 2,359,071 users	https://www.rezi.ai/
Resume Builders and Optimizers	Zety - Professional Resume & Cover Letter Tools For Any Job	https://zety.com/
Surveys	Student perspectives on the use of generative artificial intelligence technologies in higher education | International Journal for Educational Integrity | Full Text (biomedcentral.com)	https://edintegrity.biomedcentral.com/articles/10.1007/s40979-024-00149-4
Surveys	Generative AI and the Future of Teaching and Learning Appendices.pdf (boarddocs.com)	https://go.boarddocs.com/ca/cccchan/Board.nsf/files/D7BN9G5ED5A0/$file/Generative%20AI%20and%20the%20Future%20of%20Teaching%20and%20Learning%20Appendices.pdf
Surveys	CCCCO Generative AI and the Future of Teaching and Learning (boarddocs.com)	https://go.boarddocs.com/ca/cccchan/Board.nsf/files/D7BVFY8099A1/$file/Generative%20AI%20and%20the%20Future%20of%20Teaching%20and%20Learning%207-17-24%202.pdf
Surveys	A survey on students’ use of AI at a technical university | Discover Education (springer.com)	https://link.springer.com/article/10.1007/s44217-024-00136-4
Surveys	Students’ Perspective on the Use of Artificial Intelligence in Education | SpringerLink	https://link.springer.com/chapter/10.1007/978-3-031-55272-4_8
Surveys	Teen and Young Adult Perspectives on Generative AI: Patterns of Use, Excitements, and Concerns | Common Sense Media	https://www.commonsensemedia.org/research/teen-and-young-adult-perspectives-on-generative-ai-patterns-of-use-excitements-and-concerns
Surveys	2024 EDUCAUSE AI Landscape Study | EDUCAUSE	https://www.educause.edu/ecar/research-publications/2024/2024-educause-ai-landscape-study/introduction-and-key-findings#IntroductionandKeyFindings
Surveys	Youth Talks: Students reveal their hopes and fears for AI (ft.com)	https://www.ft.com/content/4f258140-ec75-411e-9d24-deb2755df13a
Surveys	Survey: College students' thoughts on AI and careers (insidehighered.com)	https://www.insidehighered.com/news/student-success/life-after-college/2024/01/10/survey-college-students-thoughts-ai-and-careers
